model,forecast_horizon_days,forecast_value,MAE,RMSE,MAPE_percent,model_short
Calendar-feature linear regression forecast,56,68.9082145843169,9.836198397915515,12.450327700230385,13.45060960674569,Calendar regression
Weekday-adjusted moving average forecast,56,75.75,12.888392857142858,16.855411911735818,19.438206205669932,Weekday-adjusted MA
7-day moving average forecast,56,85.85714285714286,16.252551020408166,19.549844719880223,23.896987129434258,7-day MA
28-day moving average forecast,56,87.71428571428571,17.08928571428571,20.293949535639975,25.387442341886846,28-day MA
Naive forecast,56,100.0,24.017857142857142,27.959473222096708,36.776469378795646,Naive
