policy_label,safety_stock_units,total_demand,total_order_quantity,total_fulfilled_demand,total_lost_sales,service_level,average_ending_inventory,maximum_ending_inventory,stockout_days,total_holding_cost,total_stockout_cost,total_cost
Safety stock = 0,0,4413,4128,4128,285,0.9354180829367778,4.642857142857143,30,30,260.0,1425.0,1685.0
Safety stock = 5,5,4413,4254,4254,159,0.9639700883752549,7.392857142857143,35,22,414.0,795.0,1209.0
Safety stock = 10,10,4413,4339,4339,74,0.9832313618853388,10.875,40,13,609.0,370.0,979.0
Safety stock = 15,15,4413,4390,4390,23,0.9947881259913891,14.964285714285714,45,5,838.0,115.0,953.0
Safety stock = 20,20,4413,4411,4407,6,0.9986403806934059,19.660714285714285,50,2,1101.0,30.0,1131.0
Safety stock = 25,25,4413,4422,4413,0,1.0,24.553571428571427,55,0,1375.0,0.0,1375.0
Safety stock = 30,30,4413,4427,4413,0,1.0,29.553571428571427,60,0,1655.0,0.0,1655.0
